,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,max thickness,mean thickness,max_kink,abs_val_mean_kink,mean_kink,sum_kink,abs_val_sum_kink,avg_ori,angle_btw,height,phi,theta,coats_orientation,coats_linearity,suture to suture
21,122.1755976,45.48898276,97.00669832,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,51.91201651,37.2128883,0.988738825,4.95504979,2.814608148,13.68244261,3.935241739,0.694444321,12.49999778,70.83435129,63.35814795,0,1.5475,12,144,5.63724104,1.011389434,0
22,124.1015883,110.1241589,93.0155557,136.5626584,22.99886425,58.71841058,130.9230042,43.09329987,95.70220184,94.45840039,71.32051914,0.97774872,4.506491767,2.833943861,20.21374055,3.193013625,-0.789120344,-29.33359216,129.7564891,28.8871015,158.3742806,1.5625,27,98,77.42712733,1.022757667,1
23,149.1016015,31.41754693,63.74260885,104.7358299,88.10274454,103.5989596,133.2749939,44.52470016,95.55989838,82.28038655,59.3087891,0.970271999,5.069176724,3.054465501,33.17404588,6.468977361,-0.202157306,-5.80305735,218.9832065,10.52904578,173.2126335,1.5775,5,323,72.71550524,1.030638832,1
24,112.7753543,98.68931888,100.4646812,135.3667628,22.50512998,59.08411483,130.9230042,43.09329987,95.70220184,89.59215174,66.86374693,0.974401529,4.620200777,2.426979275,11.73969476,2.758385096,-1.700131323,-25.7931339,93.52137539,4.071717988,179.8972383,1.57,23,291,86.50114505,1.026270967,1
25,120.0427868,103.6311775,96.27140204,142.4243398,26.24534755,61.40208818,130.9230042,43.09329987,95.70220184,87.78023492,71.06110087,0.970661617,4.550356629,2.638618598,13.18396933,3.779243772,0.485404151,12.03969023,136.4793886,12.44229291,168.1301036,1.5925,20,333,74.14499162,1.03022514,1
26,121.632472,80.89650084,104.2648631,142.8451935,26.55059771,62.11853095,130.9230042,43.09329987,95.70220184,71.97061939,71.189681,0.963129064,4.62212902,2.525704174,17.72137414,3.061542274,-0.729103494,-27.33969903,123.02061,34.83010328,144.6734607,1.6225,48,134,78.92176373,1.038282446,1
27,161.0951476,64.85831311,86.04663355,165.2330017,67.44989777,83.73539734,165.2330017,67.44989777,83.73539734,5.401847868,3.863161263,0.959385171,2.0029056,1.864856935,13.68244261,13.68244261,13.68244261,13.68244261,13.68244261,73.31063288,0,1.63,47,176,12.87329786,1.042334226,0
28,110.9805363,96.27222801,100.6939288,141.6570181,25.74024916,60.78419997,130.9230042,43.09329987,95.70220184,86.6521381,62.86024219,0.9735155,4.951179699,2.834729606,12.23816804,3.684349715,-0.42004116,-16.54580555,120.9564888,2.788097616,176.3856474,1.6525,46,112,81.76303012,1.027205011,1
29,117.5551051,18.8565486,59.44494982,119.6539916,105.9355347,95.47937019,127.9089966,32.45560074,88.1414032,94.26364404,77.5637221,0.953317606,4.58200026,2.96571378,30.63053419,8.327586855,6.316115221,60.78778127,205.613739,23.26254852,172.2457797,1.6675,14,49,70.20844676,1.048968354,1
30,128.6815964,20.60044979,61.18786292,78.9113486,76.58203148,99.1991111,130.2059937,45.58860016,97.89990234,83.99922644,63.95018375,0.961228387,5.593735537,2.726343147,45.58473264,3.798133226,0.895478554,18.84579746,121.007634,17.45721939,153.5941318,1.6975,49,8,64.0908415,1.040335485,1
