,RPA nodes x,RPA nodes y,RPA nodes z
333,137.889999,35.3160019,84.6704025
334,97.4346008,84.7701035,103.579002
335,92.9993973,50.1477013,98.3158035
336,150.783005,79.7621002,93.5981979
337,147.591995,67.8479996,94.9932022
338,100.985001,29.7572994,82.7307968
339,100.268997,30.4493008,83.8199997
340,82.3630981,75.4215012,100.047997
341,95.0421982,48.9917984,96.6724014
342,132.776993,29.5709991,79.509903
343,93.3178024,64.5786972,102.517998
344,128.046005,77.5770035,103.903
345,126.192001,77.433197,104.210999
346,156.070999,56.759201,86.6112976
347,97.7723007,32.8693008,87.0537033
348,95.696701,33.6986008,87.5028
349,96.2949982,34.5298004,88.7312012
350,122.518997,29.4283009,82.8160019
351,122.484001,30.7061996,85.3227997
352,132.320007,27.6375999,76.1490021
353,131.826004,26.4671001,74.2973022
354,133.945999,104.634003,91.4475021
355,143.434998,65.9831009,98.4898987
356,144.634003,63.5586014,96.6483994
357,144.580002,65.1808014,97.2190018
358,117.128998,55.2603989,106.372002
359,153.985001,58.3516006,89.2741013
360,135.690002,79.9429016,101.458
361,125.564003,66.7995987,105.733002
362,153.908997,84.1007004,92.0939026
363,133.332993,70.3848038,103.559998
364,121.114998,38.4826012,92.6302032
365,138.289993,37.4087982,86.7483978
366,138.908005,38.8875008,88.2912979
367,116.246002,57.2687988,106.550003
368,142.779007,51.4031982,93.7967987
369,141.212997,52.4073982,95.1371002
370,82.4549026,72.9266968,100.072998
371,83.2455978,73.6600037,100.240997
372,88.6353989,85.7944031,102.427002
373,145.313004,76.7661972,96.938797
374,161.481003,44.5638008,59.030899
375,160.649002,43.4847984,60.9299011
376,94.3042984,56.0909004,101.956001
377,92.8272018,56.2526016,101.521004
378,155.764999,80.028801,91.1856003
379,148.436005,74.1138992,94.993103
380,147.029007,76.6031036,95.8366013
381,157.843002,73.7626038,90.1535034
382,156.567001,74.7422028,90.8554001
383,115.255997,83.3648987,105.262001
384,102.666,67.5014038,103.942001
385,88.6696014,65.1046982,101.559998
386,142.891006,73.2639008,99.3835983
387,138.367996,89.361702,97.6128998
388,137.957993,89.3544006,96.3767014
389,138.119003,91.1924973,95.8343964
390,153.682999,76.0958023,92.2470016
391,126.611,28.6121006,80.4149017
392,125.255997,24.3969994,73.4313965
393,91.8233032,32.6349983,83.5134964
394,92.938797,31.5363007,82.566803
395,122.404999,33.4448013,88.668602
396,150.524002,87.5996017,92.9159012
397,133.617004,43.6212006,93.3387985
398,90.5952988,59.1498985,101.476997
399,91.4983978,57.7268982,100.185997
400,91.4916,57.2299004,101.269997
401,99.1259003,66.6723022,104.602997
402,98.4682007,63.9916992,104.184998
403,93.1019974,37.2370987,90.2667007
404,94.7104034,37.5495987,90.9779968
405,94.3108978,60.5806007,102.786003
406,94.8743973,58.7953987,102.653
407,118.503998,87.0591965,103.116997
408,144.940994,75.4820023,97.4052963
409,104.714996,70.9965973,106.646004
410,91.0542984,69.4199982,102.261002
411,151.261993,63.2672005,92.2649002
412,149.686996,63.1623993,93.259201
413,150.399994,61.6383018,92.6507034
414,102.667,35.5615997,89.3424988
415,141.570007,39.8992004,87.3307037
416,140.106995,39.1859016,87.6060028
417,141.014999,38.9845009,86.7246017
418,91.8991013,31.0720997,80.7251968
419,92.8647995,30.1324997,79.8455963
420,125.509003,102.610001,93.9815979
421,125.427002,102.289001,95.6723022
422,126.393997,101.567001,94.1969986
423,126.551003,101.081001,95.7615967
424,127.18,100.279999,94.5908966
425,155.210007,41.3965988,73.6292038
426,139.238007,56.7020988,98.7269974
427,126.445999,40.9048996,93.7528
428,140.039001,51.3974991,95.2490005
429,118.236,80.4871979,104.264999
430,120.581001,42.1856995,96.0266037
431,131.014999,61.8987999,103.721001
432,133.585999,99.4177017,93.1965027
433,133.337006,98.702301,94.8836975
434,131.871002,98.0817032,94.5082016
435,132.113007,98.6483994,93.794899
436,130.996994,99.2037964,93.8999023
437,98.7842026,24.4510002,73.5550995
438,97.5126038,25.3190994,74.6214981
439,97.3514023,82.3239975,103.861
440,108.035004,19.5391998,63.1613998
441,147.854996,32.5671997,70.8528976
442,100.099998,32.1222,86.3840027
443,98.9628983,33.5791016,87.9804993
444,101.879997,32.165699,87.4718018
445,100.526001,24.2005005,73.4549026
446,102.053001,24.0244007,73.7615967
447,154.632996,63.3592987,90.2397003
